Date,Sales
2022-01-01,114.8642573501013
2022-01-02,101.35751736861215
2022-01-03,107.92002608684608
2022-01-04,103.1582949366737
2022-01-05,91.2916266897854
2022-01-06,112.79533303746314
2022-01-07,110.47092093931592
2022-01-08,114.0046010851745
2022-01-09,109.25104291249505
2022-01-10,95.54410764878956
2022-01-11,132.91053648668785
2022-01-12,109.62991759411752
2022-01-13,106.05382402664353
2022-01-14,114.17361087917106
2022-01-15,110.38796235620525
2022-01-16,117.00805975200052
2022-01-17,105.1681278955344
2022-01-18,107.38076302831705
2022-01-19,92.52842868421547
2022-01-20,115.40754382593815
2022-01-21,114.37277357605606
2022-01-22,107.29686810989412
2022-01-23,110.9037394045349
2022-01-24,122.95374931190204
2022-01-25,123.60753166217832
2022-01-26,117.061231974769
2022-01-27,125.78035669191232
2022-01-28,119.16109789085014
2022-01-29,131.35230326917542
2022-01-30,125.60250833235047
2022-01-31,133.9411350138656
2022-02-01,131.2818140521393
2022-02-02,134.67949062422207
2022-02-03,126.69172897590572
2022-02-04,123.58152886281454
2022-02-05,125.81292914489306
2022-02-06,127.15668385640102
2022-02-07,131.2773248051347
2022-02-08,136.3740923713255
2022-02-09,149.335288829867
2022-02-10,126.07777963474979
2022-02-11,109.46615062336721
2022-02-12,123.76345811691455
2022-02-13,133.35391656333874
2022-02-14,137.03947926413034
2022-02-15,125.35504007649071
2022-02-16,144.04215444967033
2022-02-17,130.56980889311413
2022-02-18,135.4353737204555
2022-02-19,122.44637424822099
2022-02-20,135.45470830240168
2022-02-21,147.55636506528901
2022-02-22,136.00872192572663
2022-02-23,127.7783833497322
2022-02-24,134.43905378487898
2022-02-25,139.28629619859197
2022-02-26,131.57464464335322
2022-02-27,137.20815252549482
2022-02-28,133.984740774109
2022-03-01,144.09839061441232
2022-03-02,152.61563046655738
2022-03-03,140.76994667338815
2022-03-04,131.80169001561802
2022-03-05,136.48104840799974
2022-03-06,151.39618145714002
2022-03-07,144.75145922084818
2022-03-08,153.28037226488897
2022-03-09,145.01403407590254
2022-03-10,159.8907989601087
2022-03-11,152.0701002776485
2022-03-12,167.62256191740042
2022-03-13,158.0036141633825
2022-03-14,149.78258063555236
2022-03-15,148.45992508821905
2022-03-16,154.95055612071985
2022-03-17,150.55348790371252
2022-03-18,151.35915230855426
2022-03-19,145.46108930968032
2022-03-20,132.96961943203644
2022-03-21,128.07610282168642
2022-03-22,164.77853608543742
2022-03-23,136.48699310986922
2022-03-24,146.03482031597943
2022-03-25,165.9089871198534
2022-03-26,144.59930294971662
2022-03-27,144.82850260530398
2022-03-28,149.60634547242034
2022-03-29,143.19397958918063
2022-03-30,142.8092251672588
2022-03-31,143.92455120336933
2022-04-01,140.95792254031988
2022-04-02,146.5125249083826
2022-04-03,140.00726881522326
2022-04-04,151.25200973289884
2022-04-05,150.65910727985778
2022-04-06,146.48486248555017
2022-04-07,161.60823015653867
2022-04-08,155.28491532091158
2022-04-09,150.80698107839657
2022-04-10,150.69573719671067
2022-04-11,146.18109902259152
2022-04-12,147.6014846750215
